Division,PR,CollegePR
1,241.88,226.61
1,243.58,218.3
1,247.06,221.48
1,248.67,219.53
1,249.51,223.03
1,250.91,234.81
3,250.95,283.59
1,251.01,233.5
1,251.63,228.25
1,251.78,228.97
1,252.16,232.6
1,252.26,232.4
1,252.28,264.88
1,252.28,223.28
1,258.88,223.28
1,252.39,229.22
1,253,229.06
1,253.26,232.33
1,253.47,223.88
3,253.47,295.16
2,253.79,236.42
1,253.89,233.6
1,254.06,245.28
1,254.32,236.35
1,254.41,231.31
1,254.58,226.89
1,254.77,242.85
1,254.83,245.05
1,254.91,232.46
1,255.39,232.7
1,255.47,236.02
1,255.86,238.47
1,255.96,235.78
2,256.21,235.04
1,256.41,230.83
3,256.41,245.46
1,256.43,236.78
2,256.44,236.75
1,256.47,226.45
1,256.48,227.21
1,256.59,229.21
2,256.59,268.54
1,285.78,229.21
2,285.78,268.54
1,256.65,233.87
1,256.8,226.35
1,256.93,245.34
1,257.01,231.37
1,257.03,234.88
1,257.43,241.64
1,257.99,221.83
1,257.99,235.76
1,258.18,240.82
1,258.24,226.94
1,258.43,241.02
1,258.58,238.07
3,258.63,246.8
2,258.67,230.16
1,258.71,235.93
1,258.75,226.5
1,258.81,245.91
1,259.1,227.87
1,259.15,251.21
1,259.21,243.74
1,259.3,243.47
1,259.37,241.47
1,259.5,231.58
1,259.68,238.18
1,259.72,240.59
1,259.79,243.43
1,259.99,232.91
1,260.02,233.74
1,260.04,233.15
1,260.05,232.9
2,260.38,241.56
1,260.43,240.27
1,260.5,226.81
1,260.56,226.9
3,260.76,255.82
1,260.79,254.67
1,260.82,244.84
3,260.82,236.28
1,260.89,242.39
1,260.89,232.2
1,261.05,234.83
1,261.2,239.08
2,261.33,238.5
3,261.43,258.02
1,261.45,226.08
1,261.48,244.99
1,261.61,225.25
1,275.69,225.25
1,293.73,225.25
1,261.63,235.94
1,294.57,235.94
3,261.69,236.92
1,261.7,225.39
1,261.7,232.09
1,261.75,247.36
3,261.89,261.05
1,262.02,239.22
2,262.07,237.37
1,262.11,242.21
1,262.11,241.23
1,262.26,233.26
1,262.36,232.59
1,262.46,234.89
1,262.6,241.83
1,262.64,246.3
1,262.79,238.75
1,262.88,236.73
3,262.9,240.6
1,263.16,229.21
1,263.21,258
1,263.31,245.31
1,263.35,235.13
1,263.37,223.28
1,263.49,234.81
1,263.55,237.52
1,263.56,239.82
1,263.69,235.09
1,263.72,247.64
1,263.8,234.12
1,264.87,234.12
1,263.81,238.43
1,263.87,233.92
2,263.97,251.71
1,264.02,235.87
1,264.08,244.12
1,264.13,242.34
1,264.23,238.49
1,264.36,238.67
1,264.45,235.84
1,264.48,233.62
1,264.55,235.81
1,264.66,264.75
3,264.7,251.56
1,264.8,237.82
2,264.9,253.52
1,264.9,246.4
2,264.94,233.68
1,264.97,229.54
2,265.05,241.74
3,265.27,250.64
2,265.33,245.45
1,265.48,242.07
1,265.53,226.07
1,265.54,229.53
1,265.67,240.95
1,265.77,245.9
1,265.83,229.15
1,265.85,241.15
1,265.87,240.38
1,265.87,246.9
1,265.88,232.93
2,266.04,239.55
3,266.05,257.11
3,266.05,239.05
3,266.1,246.98
2,266.14,247.86
1,266.17,243.31
3,266.22,257.85
2,266.23,238.3
1,266.24,244.47
3,266.25,248.33
2,266.31,240.02
2,266.31,243.14
3,266.31,254.36
2,266.34,237.96
1,266.36,239.69
2,266.37,231.31
1,266.43,233.36
2,266.44,257.6
2,266.48,237.52
1,266.5,232.4
