Division,PR,CollegePR
1,6.45795,6.75
1,6.8326,6.99
1,5.7023,6.87
1,7.38505,7.33
1,6.22935,6.49
3,6.0452,6.54
3,6.2484,7.06
1,6.7564,6.44
3,5.46735,6.09
3,5.2451,6.9
2,6.66115,6.68
2,6.4135,5.94
1,5.8547,5.72
3,6.12775,6.09
1,7.0866,7.45
1,5.7404,7.25
3,6.2103,6.34
2,5.8928,6.22
1,6.9469,6.37
3,5.56895,6.21
3,5.4356,6.12
3,5.0927,5.49
2,6.6802,6.68
2,6.4135,6.13
3,6.14045,6.07
1,6.7183,7.22
1,6.4389,6.88
3,5.55625,6.18
3,5.969,6.75
2,5.91185,6.06
3,6.29285,6.84
3,5.64515,5.77
3,5.48005,6.02
2,5.3848,6.33
3,6.07695,6.16
1,4.9784,5.72
2,5.7912,6.39
1,6.90245,7.13
1,5.32765,6.25
3,6.7183,6.79
2,6.1468,5.78
2,6.17855,5.6
3,5.7404,6.56
1,5.97535,6.42
1,6.88975,7.07
3,5.4864,6.25
1,6.4516,6.5
2,5.4229,6.54
2,6.2738,7.08
3,5.9309,6.3
1,6.6929,6.04
2,5.6896,5.9
1,6.4262,7.12
3,5.56895,6.4
3,5.65785,6.16
1,6.0452,6.87
1,6.6929,7.23
1,6.10235,6.06
3,6.0452,6.39
1,5.6769,5.82
1,6.30555,5.82
3,4.9784,6.27
1,4.9784,6.83
3,6.61035,6.27
1,6.61035,6.83
3,6.858,6.95
3,5.8166,6.01
2,6.8072,6.95
1,7.1374,6.71
3,6.03885,6.6
2,5.04825,5.69
1,7.1628,6.68
1,5.96265,6.08
1,6.9723,6.27
3,5.3467,6.32
1,6.6675,6.9
1,5.4356,6.8
2,6.86435,6.75
3,5.1308,5.97
3,6.0198,5.88
3,6.64845,6.88
1,5.207,7.29
1,6.731,7.29
1,7.02945,7.87
3,6.5913,6.81
3,6.0198,6.33
1,5.9817,6.74
1,6.6294,6.59
3,5.2197,6.26
1,6.78815,7.04
2,5.461,6.29
2,5.6896,5.74
3,5.77215,6.03
1,6.61035,6.5
1,5.8166,5.71
1,6.6548,6.39
3,5.25145,6.12
3,5.59435,5.92
3,5.588,5.82
3,5.4483,5.82
1,6.2992,6.8
1,5.79755,5.48
3,6.47065,6.79
2,6.0579,6.2
2,5.588,5.68
3,6.0706,6.79
1,6.0706,6.33
3,5.37845,5.45
1,5.7531,7.06
2,5.8928,5.87
2,5.9563,6.49
2,6.10235,6.49
3,5.4356,6.41
3,6.07695,6.3
2,6.00075,6.32
3,5.9944,5.84
2,6.7183,6.38
2,5.82295,5.48
1,6.5532,6.61
1,6.9596,6.35
3,5.69595,5.89
3,5.4356,5.51
2,5.7023,6.35
1,6.3754,6.87
2,6.0833,5.82
2,6.63575,5.88
2,6.2103,6.04
3,5.8166,5.96
2,5.7404,5.74
1,6.52145,7.26
3,5.2832,6.5
2,6.3881,6.93
3,6.1595,6.47
1,7.0612,7.07
2,5.86105,5.21
3,6.3881,7.13
3,5.0165,5.14
1,6.12775,6.47
2,5.969,6.44
1,6.1468,6.58
1,6.90245,6.72
1,6.3881,6.44
1,7.3914,7.44
1,5.588,6.01
2,6.3627,6.28
3,5.92455,6.39
2,6.67385,7.02
3,6.1976,6.7
1,6.6929,6.8
3,5.4102,5.8
1,5.49275,6.33
3,5.82295,5.99
1,7.0739,7.12
1,6.16585,6.27
3,5.6007,5.49
3,5.6261,6.16
1,6.6294,6.29
2,6.49605,6.71
1,6.7691,5.94
3,6.62305,6.91
1,6.3119,7.05
2,6.0325,6.85
1,4.9911,5.85
3,6.1976,5.73
3,5.8293,5.94
3,6.59765,6.72
1,6.3627,6.61
2,5.3213,5.74
3,5.2324,5.97
3,6.5786,6.1
2,5.98805,6.18
3,6.19125,5.32
3,5.5626,5.58
2,5.715,5.94
1,5.2578,5.75
1,6.8199,7.19
1,5.91185,6
3,5.6134,6.43
3,5.77215,6.43
3,6.10235,5.23
3,6.05155,6.52
1,5.96265,6.05
2,6.858,6.87
2,6.0579,7.32
3,6.4897,6.69
2,5.04825,5.61
2,6.2738,6.84
1,5.6642,6.06
3,5.588,6.2
2,5.3467,6.04
3,6.16585,6.13
2,5.7404,6.06
1,6.78815,6.9
1,6.45795,6.07
1,6.03885,5.74
1,6.07695,5.74
3,5.8166,6.22
3,5.1181,6.09
1,6.2357,6.39
1,6.1976,7.2
1,6.44525,7.95
2,5.9055,6.36
3,5.8293,6.39
3,6.223,6.23
2,6.5405,6.63
3,6.1595,6.05
1,6.8834,6.35
1,5.588,6.32
1,6.0833,6.68
1,6.7056,7.18
3,6.85165,7.08
1,6.38175,7.26
1,7.0104,6.69
1,7.2009,7.29
3,6.5913,6.37
1,6.54685,6.69
3,5.46735,6.35
2,5.842,6.03
2,6.7183,6.43
3,6.477,6.93
2,5.6896,6.88
3,5.77215,5.95
1,6.985,7.08
3,5.461,6.16
1,6.3627,6.42
3,5.9817,6.43
1,6.1341,6.61
1,6.55955,6.32
2,5.48005,5.49
1,5.9817,6.17
3,6.4008,6.5
2,5.7912,5.79
2,5.9817,6.19
