Division,PR,CollegePR
1,15.3162,15.83
1,14.1097,15.66
1,14.67485,15.65
1,14.64945,15.31
1,13.8303,15.16
1,14.5161,15.15
1,13.8049,15.15
1,13.35405,15.1
1,14.6558,15.08
1,13.9827,15.06
1,14.8971,15.02
1,14.7066,14.95
1,13.843,14.83
2,13.6779,14.83
1,13.34135,14.77
1,14.0208,14.76
1,14.8717,14.64
1,15.2273,14.61
3,12.13485,14.6
2,13.1572,14.58
2,12.9667,14.52
1,14.3129,14.46
2,13.4874,14.37
1,13.11275,14.34
1,12.9159,14.3
3,12.96035,14.3
3,12.9413,14.3
2,12.7508,14.3
2,13.6271,14.29
1,14.48435,14.28
1,14.224,14.27
2,13.22705,14.27
3,13.1699,14.26
2,13.3858,14.24
2,13.91285,14.17
1,13.2715,14.17
1,13.2207,14.14
2,13.7668,14.07
3,13.98905,14.02
1,14.7066,14
2,12.8905,13.97
1,13.4493,13.96
1,13.716,13.95
1,13.51915,13.9
2,13.3096,13.9
1,12.9794,13.88
3,12.4333,13.83
1,14.097,13.8
1,13.70965,13.8
3,13.6398,13.77
3,13.1064,13.75
3,12.23645,13.74
2,13.8811,13.71
2,13.2715,13.7
3,11.811,13.69
2,12.40155,13.65
2,12.2428,13.65
1,12.9032,13.61
2,13.82395,13.61
3,12.827,13.59
1,13.9446,13.57
3,11.91895,13.56
1,14.1097,13.56
1,13.0429,13.53
3,12.00785,13.52
1,13.3731,13.52
2,13.23975,13.51
1,13.43025,13.51
1,14.2748,13.5
1,12.3698,13.49
3,13.22705,13.49
2,13.30325,13.38
1,13.3985,13.37
2,12.5222,13.37
2,13.69695,13.35
2,12.57935,13.31
1,12.3444,13.3
1,12.319,13.3
1,12.2428,13.28
1,13.8684,13.28
3,12.8524,13.27
3,11.2141,13.27
1,13.63345,13.25
3,11.56335,13.24
3,12.7381,13.24
1,12.7127,13.24
3,12.2936,13.22
1,12.7254,13.2
3,12.3571,13.19
3,13.1191,13.18
3,12.38885,13.18
1,13.4112,13.17
2,11.4808,13.16
2,12.94765,13.15
2,12.4714,13.15
2,12.2301,13.15
3,11.7348,13.15
1,12.6873,13.13
3,12.92225,13.1
2,12.3825,13.1
2,13.2715,13.1
2,12.68095,13.1
3,11.4554,13.06
2,11.7348,13.03
2,11.6967,13.03
3,12.827,13.03
3,12.7127,13.03
2,12.61745,13.03
2,12.0523,13.03
2,11.3284,13.03
3,12.65555,13.01
2,12.1158,12.97
1,12.9286,12.97
3,12.1412,12.97
3,11.91895,12.96
3,12.4333,12.95
2,12.319,12.93
1,12.5476,12.9
3,12.0269,12.89
3,12.5222,12.89
1,12.38885,12.87
1,12.40155,12.86
1,13.843,12.86
3,11.9253,12.86
3,13.1699,12.82
3,12.24915,12.81
3,12.8905,12.8
2,11.9761,12.79
1,13.1826,12.72
3,12.7254,12.7
3,13.1064,12.69
2,12.6746,12.69
2,12.68095,12.66
3,12.50315,12.62
1,12.05865,12.62
3,13.0683,12.61
1,12.21105,12.6
3,13.0048,12.59
3,12.7254,12.58
3,12.94765,12.58
2,12.3698,12.57
3,11.43,12.55
3,12.0904,12.54
3,11.7983,12.53
3,11.2903,12.52
3,12.3317,12.52
3,11.3284,12.52
3,12.42695,12.52
2,11.7348,12.43
3,11.6586,12.33
3,12.3825,12.29
3,11.7348,12.28
2,12.64285,12.26
3,12.8016,12.25
3,11.74115,12.23
3,12.1666,12.21
1,12.2174,12.19
3,12.1793,12.19
1,12.69365,12.14
3,11.4808,12.1
1,11.99515,12.08
3,12.12215,11.89
3,11.7602,11.76
3,12.7254,11.71
3,11.81735,11.69
3,11.61415,11.58
2,12.1158,11.57
3,12.0269,11.54
3,11.6332,11.45
3,11.30935,11.42
3,13.01115,11.36
2,11.2141,11.12
2,12.0142,10.97
