Division,PR,CollegePR
1,5.245100000000001,5.66
1,5.3911500000000006,5.42
3,4.5593,4.45
2,4.83235,4.83
1,5.435600000000001,5.45
3,5.0038,5.2
3,5.08,4.63
1,5.8166,6.1
3,5.111750000000001,5.06
3,4.9276,4.64
1,5.130800000000001,5.22
1,4.8514,4.71
1,6.0325,5.4
3,4.6609,4.89
1,5.82295,5.96
3,4.6609,4.88
2,5.187950000000001,5.46
1,5.772150000000001,6.24
1,5.3721000000000005,5.44
1,5.2324,5.6
3,4.7371,4.5
2,4.953,5.35
3,4.4323,4.15
1,5.63245,5.97
2,5.1562,4.74
1,5.1816,4.99
3,4.4958,4.82
3,4.04495,4.7
3,4.2926,4.51
1,5.568950000000001,5.77
3,4.572,5.57
3,3.51155,4.34
2,5.0038,5.18
2,5.2578000000000005,4.94
2,5.1943,5.54
1,6.502400000000001,6.79
2,4.4196,4.82
1,5.130800000000001,5.49
2,4.7752,4.21
1,5.581650000000001,5.25
1,5.1943,4.89
1,5.3340000000000005,5.92
1,5.89915,5.93
3,4.940300000000001,5.34
3,3.867150000000001,4.15
3,4.47675,4.62
1,3.867150000000001,4.38
3,3.80365,4.15
1,5.3721000000000005,5.32
2,4.4196,4.56
3,5.1816,5.24
2,4.55295,5.03
1,4.9911,5.02
1,5.1689,5.46
1,5.3721000000000005,5.46
1,5.492750000000001,5.79
3,4.6609,5.21
2,5.3467,4.97
3,4.23545,3.96
3,5.524500000000001,5.27
2,5.111750000000001,5.19
2,4.8006,4.82
2,5.054600000000001,4.89
3,4.7244,5.53
1,5.092700000000001,4.94
2,4.8895,5.35
1,5.6134,5.56
2,4.79425,5.5
1,5.397500000000001,5.2
3,4.69265,4.76
2,5.0673,4.95
3,4.6863,5.53
1,4.9276,5.67
2,5.397500000000001,5.0
3,4.3688,4.79
3,5.2197000000000005,5.42
1,4.93395,4.95
2,4.94665,4.84
1,4.978400000000001,4.71
2,4.4958,4.21
1,4.7625,5.26
1,5.40385,5.59
1,4.64185,3.82
2,5.5753,5.61
1,5.0673,4.72
2,4.75615,5.02
3,5.073650000000001,5.6
3,4.8895,5.18
1,5.207000000000001,5.63
1,5.3467,5.31
2,4.7244,5.22
1,5.2578000000000005,4.77
1,5.2324,5.52
1,4.7244,5.14
3,3.7846,4.02
1,5.2324,5.45
3,4.9276,4.29
1,5.5753,5.32
3,5.283200000000001,4.98
1,5.486400000000001,5.33
2,4.69265,4.45
1,5.664200000000001,5.39
2,5.492750000000001,5.48
1,5.8039,5.65
2,5.302250000000001,4.64
3,4.3688,4.99
2,4.6736,4.82
1,5.410200000000001,5.54
2,5.461,5.09
3,4.2418000000000005,4.5
3,4.4704,4.4
1,5.638800000000001,5.45
1,5.3848,5.17
1,5.283200000000001,5.55
1,4.3815,4.22
1,5.207000000000001,5.14
1,5.130800000000001,5.22
3,5.08,4.68
1,4.5974,5.39
1,5.7658000000000005,5.51
1,6.0198,5.98
1,5.435600000000001,5.44
1,5.8674,5.78
1,5.683250000000001,5.85
2,4.7244,4.05
3,4.64185,4.66
1,4.6609,4.96
1,4.7688500000000005,5.6
3,4.70535,4.63
1,5.3086,5.36
1,5.2959000000000005,5.27
1,5.359400000000001,5.43
3,4.0513,4.24
1,5.59435,5.97
3,5.016500000000001,4.92
3,4.8387,5.07
2,5.3911500000000006,5.03
2,4.902200000000001,5.29
2,4.5339,4.71
1,5.657850000000001,5.78
2,4.69265,4.36
2,5.09905,6.08
1,4.8387,5.78
2,5.111750000000001,5.43
1,5.0292,5.36
2,5.32765,5.7
3,5.149850000000001,5.44
3,4.54025,4.64
2,5.2705,5.63
1,5.435600000000001,5.42
3,4.5593,4.72
1,5.3911500000000006,5.54
3,4.6736,5.11
3,4.67995,4.94
1,5.702300000000001,5.76
3,4.7879000000000005,4.52
3,4.0132,4.43
3,5.1054,5.22
1,5.0419,5.6
3,4.3815,4.9
1,4.902200000000001,5.3
3,4.98475,5.17
2,4.64185,4.47
2,4.71805,4.47
3,4.940300000000001,4.7
1,4.1275,4.25
3,4.55295,5.01
3,4.42595,4.36
3,5.02285,4.92
3,5.09905,5.3
1,4.64185,5.24
2,4.0894,3.63
3,4.8387,4.59
3,5.4229,5.38
1,4.4958,5.18
3,4.8260000000000005,5.1
3,4.8260000000000005,4.96
3,5.461,4.91
1,4.8514,4.1
1,5.5753,5.29
3,3.9624,5.01
1,5.3467,5.0
3,4.50215,4.76
2,4.940300000000001,5.39
1,4.37515,4.49
1,4.6228,4.84
3,4.75615,4.35
1,5.8166,6.23
1,4.8768,4.93
1,5.83565,5.74
1,5.448300000000001,5.89
1,4.940300000000001,4.55
1,5.607050000000001,5.61
1,5.1054,5.98
1,5.86105,5.83
1,4.318,5.4
1,5.5372,5.0
3,5.130800000000001,4.6
1,5.092700000000001,5.1
1,3.937,4.81
3,4.01955,4.65
1,6.1468,6.02
3,4.445,5.03
2,4.66725,4.86
1,5.2387500000000005,5.69
3,4.55295,5.27
2,5.04825,4.8
1,5.130800000000001,5.4
1,4.1402,4.39
1,4.9911,4.63
1,3.7846,4.45
1,5.1816,5.43
3,4.4958,4.93
3,4.90855,4.52
1,5.2387500000000005,5.92
1,5.08,5.07
3,5.12445,5.26
2,3.8354,4.62
2,4.902200000000001,4.64
2,5.09905,5.13
