Division,PR,CollegePR
1,11.5951,11.36
3,9.9695,9.87
1,12.5984,12.87
1,11.176,11.6
1,10.541,11.76
3,9.4107,9.71
1,12.07135,12.52
3,10.7188,10.82
3,9.9822,10.86
1,12.4079,13.23
1,10.5918,11.51
3,10.0711,9.74
2,10.6299,11.56
2,10.8204,11.61
1,10.8458,10.55
2,11.2014,10.34
3,10.3505,9.98
3,7.493,9.04
3,10.16635,10.55
2,10.8204,12.03
3,8.382,9.09
2,9.7409,9.86
1,11.5443,10.95
3,9.08685,8.93
1,11.0363,11.68
1,10.69975,11.32
3,9.8679,11.02
1,10.1473,10.5
3,9.81075,9.02
2,9.1948,9.49
1,10.10285,11.39
3,9.95045,9.59
3,10.8839,10.52
3,10.3759,10.41
3,10.7188,10.8
3,9.4488,9.99
3,9.1059,10.7
1,10.2616,12.09
2,10.63625,11.3
1,11.33475,11.34
3,10.00125,10.7
1,10.80135,12.15
3,10.73785,10.64
1,10.4775,11
1,11.8491,11.88
3,9.8298,9.49
1,10.16,11.82
1,11.2268,12.16
1,10.6934,9.43
2,11.0109,11.11
3,10.12825,10.8
1,11.28395,10.72
3,10.7188,10.06
3,8.95985,9.74
2,10.9728,11.26
1,10.3886,10.68
1,10.2489,10.8
3,8.6741,8.91
3,10.6553,9.69
1,11.5316,10.96
2,11.3157,11.38
2,10.95375,10.66
3,9.8044,11.03
2,8.89,10.43
1,12.1412,12.03
1,11.7094,11.9
3,9.93775,10.17
1,11.48715,11.72
1,10.8204,11.94
2,11.4935,10.44
1,11.77925,12.03
1,11.3538,11.23
1,11.303,12.3
3,10.89025,10.36
1,11.8237,11.91
3,10.7696,10.6
3,10.85215,10.86
2,11.67765,10.89
2,10.3378,9.92
1,10.8204,11.13
2,11.38555,11.27
1,10.7061,11.11
2,11.55065,11.22
3,8.4709,9.95
1,11.84275,11.89
3,10.287,10.65
3,9.88695,11.13
2,10.2108,9.6
3,9.017,10.12
3,11.58875,11.83
1,9.4488,10.27
2,9.96315,8.87
2,10.1346,8.87
1,10.2235,9.32
3,10.1727,9.94
1,11.18235,11.79
3,10.5918,11.16
3,10.2235,10.65
3,9.7536,10.45
3,10.0584,11.01
1,11.1252,10.32
3,9.4488,9.74
2,10.6172,9.86
3,9.8298,9.59
2,10.1346,10.48
1,12.1031,12.18
3,9.2456,8.81
1,10.45845,11.79
1,10.8712,11.43
1,10.3886,11.66
3,10.0838,10.95
1,9.8298,10.61
1,10.6299,10.33
3,9.0551,9.5
1,10.8077,11.92
3,11.43,11.25
2,9.906,9.81
3,10.7696,11.36
3,10.033,10.85
3,10.6045,10.66
2,10.2108,10.07
2,11.7475,11.37
2,9.39165,9.36
1,12.14755,12.32
3,10.69975,10.45
1,10.6299,10.9
3,9.2329,9.98
1,11.9507,12.52
2,10.287,11.72
1,11.1125,11.27
1,12.065,12.13
2,10.922,9.95
1,9.5377,9.46
1,12.2682,12.59
2,10.96645,10.84
1,10.8458,11.84
1,11.0744,12.11
2,10.3632,10.65
2,11.1506,11.32
1,11.1887,11.9
3,10.3124,10.48
1,11.3284,11.19
3,9.4869,8.91
3,9.72185,10.37
3,10.1854,11.73
1,10.9728,11.47
2,11.25855,11.48
3,9.3345,10.56
3,9.67105,10.16
3,10.1092,10.67
3,9.56945,9.95
2,10.5029,10.86
1,11.55065,10.66
3,10.4521,10.6
2,9.96315,9.86
3,9.3726,10.52
2,11.2522,11.25
2,10.9347,11.71
2,10.3505,10.52
3,8.8773,8.7
3,10.42035,10.69
3,9.8806,9.91
2,11.34745,10.72
1,7.874,10.48
1,10.3505,10.48
1,12.94765,12.74
1,12.2809,12.45
1,11.557,12.18
1,11.42365,11.51
1,11.6078,11.86
3,9.271,10.09
2,11.2395,10.9
2,10.3886,10.75
1,11.80465,11.12
2,9.8552,10.36
3,9.3853,10.3
1,10.7442,10.42
2,11.2903,11.01
1,11.27125,11
3,10.1092,10.76
1,12.13485,11.67
2,8.7884,9.72
3,9.13765,9.46
2,9.8298,10.42
3,9.46785,9.66
1,12.07135,12.37
2,9.88695,10.09
1,11.7856,11.23
1,10.35685,10.43
1,10.69975,11.45
1,10.83945,11.13
3,9.5758,10.26
1,11.5062,11.18
1,11.70305,11.59
2,10.73785,10.78
1,10.0584,10.56
3,9.5504,9.9
2,10.95375,10.85
3,10.0838,9.91
3,9.2329,9.18
2,11.43,11.75
2,10.8204,10.64
3,10.50925,11.2
3,8.4836,9.27
1,11.46175,12.14
1,10.2362,10.78
1,12.2936,12.04
2,9.93775,9.05
2,9.93775,11.47
1,10.3378,12.28
1,10.4648,11.12
2,11.51255,11.32
3,10.8966,10.88
1,11.4046,12.84
1,11.3284,11.79
1,9.6774,10.04
1,11.4554,11.16
2,10.9855,10.8
3,10.9347,11.23
3,9.53135,9.29
3,10.5791,9.83
2,11.5316,11.01
3,9.82345,10.74
1,9.3091,11.8
1,11.5189,11.8
2,11.303,12.14
1,10.668,10.17
3,9.8171,9.51
1,10.59815,11.56
2,11.20775,11.41
3,8.89,9.48
3,9.74725,9.75
2,10.29335,10.9
3,9.7536,9.92
3,11.7221,11.47
3,9.0297,9.98
3,8.7884,9.78
1,8.4328,11.83
3,9.271,9.97
1,10.6172,11.82
1,11.6459,11.25
1,11.684,11.7
1,10.2108,10.3
3,8.89,8.48
1,11.36015,10.35
2,9.65835,9.74
3,8.8646,8.01
3,10.2108,10.93
1,10.4775,11.34
2,9.4488,10.25
1,10.82675,11.02
1,10.8585,11.37
2,10.66165,10.41
3,9.3599,9.8
1,10.35685,11.15
1,10.77595,10.14
2,11.8491,10.82
1,11.5316,11.8
3,9.144,10.03
1,10.16635,11.2
1,10.7696,11.47
1,11.89355,11.43
1,11.049,11.37
3,11.11885,10.65
1,11.1125,10.96
3,11.28395,10.02
